Date,Close,Volume
1125,9.641,39385404.0
1126,10.079,49112880.0
1127,9.997,54145996.0
1128,9.038,33910328.0
1129,8.846,17861556.0
1130,9.148,15461095.0
1131,9.011,35642948.0
1132,8.326,19825016.0
1133,8.326,0.0
1134,8.655,12252162.0
1135,8.162,10264428.0
1136,8.436,11940078.0
1137,8.216,10547133.0
1138,8.299,8088322.0
1139,8.189,6662147.0
1140,8.189,0.0
1141,8.189,0.0
1142,8.189,0.0
1143,8.189,0.0
1144,8.189,0.0
1145,8.189,0.0
1146,8.189,0.0
1147,8.189,0.0
1148,8.189,0.0
1149,8.189,0.0
1150,8.189,0.0
1151,8.189,0.0
1152,8.189,0.0
1153,8.189,0.0
1154,8.162,16345210.0
1155,8.134,12895511.0
1156,8.326,15727814.0
1157,7.943,13376997.0
1158,7.504,9956109.0
1159,7.504,7764673.0
1160,7.504,0.0
1161,7.504,0.0
1162,7.504,0.0
1163,7.504,0.0
1164,7.504,0.0
1165,7.504,0.0
1166,7.504,0.0
1167,7.504,0.0
1168,7.504,0.0
1169,7.504,0.0
1170,7.504,0.0
1171,7.504,0.0
1172,7.973,14776724.0
1173,7.895,5833267.0
1174,7.739,5156296.0
1175,7.467,5489508.0
1176,7.467,3280747.0
1177,7.312,4439805.0
1178,7.739,10394078.0
1179,7.856,10615176.0
1180,8.167,20473036.0
1181,8.128,9824037.0
1182,8.478,22894554.0
1183,8.4,16582563.0
1184,8.4,9452643.0
1185,8.284,7069263.0
1186,8.362,4787476.0
1187,8.167,5894998.0
1188,8.167,0.0
1189,8.4,9999181.0
1190,8.439,9903418.0
1191,8.4,6836854.0
1192,8.323,4411202.0
1193,8.362,5512667.0
1194,8.167,6585786.0
1195,8.323,7795820.0
1196,9.023,32100728.0
1197,9.723,58131840.0
1198,9.839,48816644.0
1199,10.578,62111208.0
1200,11.628,98785312.0
1201,12.367,94784256.0
1202,12.134,67935912.0
1203,11.667,72736344.0
1204,11.745,46847064.0
1205,11.901,74025064.0
1206,11.823,72146856.0
1207,12.99,116507952.0
1208,12.834,78225456.0
1209,12.367,48864272.0
1210,11.317,62070136.0
1211,11.551,39742996.0
1212,12.717,76908864.0
1213,12.64,79975312.0
1214,12.445,39725180.0
1215,12.873,44773232.0
1216,12.484,34984480.0
1217,12.29,25854430.0
1218,11.862,48774092.0
1219,12.056,48437576.0
1220,11.628,26791408.0
1221,10.695,40516916.0
1222,11.784,52119432.0
1223,11.901,52140464.0
1224,11.862,27230538.0
1225,12.445,99017232.0
1226,12.367,28718022.0
1227,12.678,50135284.0
1228,12.717,58005996.0
1229,12.173,50011652.0
1230,12.173,28014870.0
1231,11.94,17452398.0
1232,11.278,25029524.0
1233,12.095,45584552.0
1234,11.901,23924106.0
1235,12.134,32675280.0
1236,12.251,28487408.0
1237,12.134,20843176.0
1238,12.445,64500660.0
1239,12.328,34536024.0
1240,12.095,22959068.0
1241,12.173,25028410.0
1242,12.29,52550176.0
1243,12.795,74911464.0
1244,12.834,84118696.0
1245,12.29,44977976.0
1246,12.445,25879054.0
1247,12.212,22531596.0
1248,12.251,24376396.0
1249,11.978,29477520.0
1250,12.056,18537280.0
1251,11.94,42697184.0
1252,12.251,54793024.0
1253,12.056,30325564.0
1254,11.862,35704704.0
1255,11.784,37247520.0
1256,12.017,33386284.0
1257,11.745,28011052.0
1258,11.706,25093810.0
1259,11.201,33879268.0
1260,11.278,17023864.0
1261,10.851,30669200.0
1262,10.889,18121370.0
1263,11.395,42069392.0
1264,10.773,29240354.0
1265,9.839,37780332.0
1266,9.839,37681876.0
1267,9.995,23509250.0
1268,9.956,19841442.0
1269,9.645,16192273.0
1270,9.723,18917198.0
1271,9.839,23141206.0
1272,10.695,60242064.0
1273,10.617,40565408.0
1274,11.317,51289368.0
1275,11.862,87593936.0
1276,12.056,62144316.0
1277,10.889,53852504.0
1278,11.084,28904630.0
1279,11.512,42533460.0
1280,11.512,0.0
1281,12.056,61833200.0
1282,11.045,35955604.0
1283,11.434,31307410.0
1284,11.395,24840026.0
1285,11.784,45572476.0
1286,11.784,0.0
1287,11.978,57701688.0
1288,11.667,39175592.0
1289,12.834,60109596.0
1290,14.117,118448568.0
1291,13.651,122342272.0
1292,14.74,141997344.0
1293,13.262,75152048.0
1294,12.484,67650144.0
1295,11.706,44361272.0
1296,11.667,18547896.0
1297,11.901,16124852.0
1298,11.356,18426794.0
1299,11.434,17210294.0
1300,11.823,20046682.0
1301,11.823,18668462.0
1302,11.862,15955509.0
1303,12.017,41881752.0
1304,12.601,48080780.0
1305,12.873,52440936.0
1306,12.951,48926924.0
1307,12.601,26391144.0
1308,12.678,18982234.0
1309,12.717,21199260.0
1310,12.912,40278664.0
1311,13.184,35442984.0
1312,13.651,57240728.0
1313,13.223,59587104.0
1314,13.573,31430826.0
1315,12.99,34998584.0
1316,13.028,20883342.0
1317,13.262,26782312.0
1318,13.262,72903256.0
1319,11.94,43256716.0
1320,11.901,22561168.0
1321,12.251,17712590.0
1322,12.873,23583084.0
1323,13.028,53552004.0
1324,12.99,23436270.0
1325,12.795,16767589.0
1326,12.484,17134704.0
1327,12.367,17512720.0
1328,12.523,17331996.0
1329,12.29,18980132.0
1330,12.056,15000726.0
1331,11.473,16241024.0
1332,11.201,9369692.0
1333,11.356,9437788.0
1334,11.239,7029999.0
1335,10.734,8160126.0
1336,10.189,8653587.0
1337,10.656,7332741.0
1338,10.617,5405223.0
1339,10.773,6203932.0
1340,10.928,7165089.0
1341,10.423,6536369.0
1342,10.656,3831876.0
1343,11.006,9186560.0
1344,10.889,6234512.0
1345,10.889,2979669.0
1346,10.928,4889247.0
1347,11.123,10922171.0
1348,10.889,6791313.0
1349,11.201,11435039.0
1350,11.006,17461850.0
1351,11.473,18307842.0
1352,11.395,41634904.0
1353,11.862,27574296.0
1354,12.562,70523624.0
1355,11.862,30097040.0
1356,12.367,25405222.0
1357,12.251,19728034.0
1358,12.056,13028387.0
1359,12.095,9778765.0
1360,11.862,9895912.0
1361,11.823,17699850.0
1362,11.745,13115690.0
1363,11.434,12890882.0
1364,11.317,10571331.0
1365,11.317,0.0
1366,11.823,17968698.0
1367,11.745,13700562.0
1368,11.667,9325490.0
1369,11.628,7901671.0
1370,11.434,8553927.0
1371,11.667,11811555.0
1372,11.395,7289055.0
1373,11.512,4636783.0
1374,11.473,7240914.0
1375,11.551,8891493.0
1376,11.862,20627910.0
1377,12.056,26806200.0
1378,12.134,16955310.0
1379,11.901,19091628.0
1380,11.862,10111319.0
1381,11.667,13392824.0
1382,11.551,9137172.0
1383,11.628,7039714.0
1384,11.551,12429764.0
1385,11.395,15209652.0
1386,11.084,11948517.0
1387,11.356,6889404.0
1388,11.084,7859160.0
1389,11.045,6627025.0
1390,10.656,11105753.0
1391,10.889,7787593.0
1392,10.851,4703844.0
1393,10.734,7235556.0
1394,10.578,10811283.0
1395,10.928,17072640.0
1396,10.773,7754491.0
1397,10.578,8224553.0
1398,10.773,8598137.0
1399,10.851,5910208.0
1400,10.501,9401184.0
1401,9.801,12928328.0
1402,9.956,7446061.0
1403,9.995,6224135.0
1404,9.995,0.0
1405,9.878,9654970.0
1406,9.567,13858336.0
1407,9.878,13991393.0
1408,9.995,15659234.0
1409,10.151,17262052.0
1410,10.034,8895980.0
1411,10.151,8569191.0
1412,10.423,27184966.0
1413,10.189,14689187.0
1414,10.267,14629183.0
1415,10.151,17783804.0
1416,10.578,32032454.0
1417,10.617,21428216.0
1418,11.201,64314812.0
1419,11.123,60118812.0
1420,10.423,25573056.0
1421,10.967,22622356.0
1422,10.812,21595096.0
1423,10.578,13011481.0
1424,10.617,10971231.0
1425,10.617,16582018.0
1426,10.578,20018044.0
1427,10.889,41916768.0
1428,10.734,24033436.0
1429,10.539,27968988.0
1430,10.423,16300964.0
1431,10.423,15704053.0
1432,10.073,21920996.0
1433,9.839,19291326.0
1434,10.034,26945014.0
1435,9.801,24893158.0
1436,9.801,20940858.0
1437,9.917,31469560.0
1438,10.501,68390264.0
1439,10.423,46621380.0
1440,10.773,68534544.0
1441,11.395,149346272.0
1442,11.006,136752960.0
1443,11.317,63290140.0
1444,11.317,0.0
1445,11.551,115398288.0
1446,11.823,83256232.0
1447,11.823,0.0
1448,12.601,138186848.0
1449,12.445,80456608.0
1450,12.678,76182352.0
1451,11.901,57927752.0
1452,11.784,50189056.0
1453,12.64,83004320.0
1454,12.445,59330336.0
1455,11.667,49763984.0
1456,12.017,45303288.0
1457,12.134,57734672.0
1458,13.301,128999384.0
1459,13.028,146147968.0
1460,13.845,147995456.0
1461,13.767,114866592.0
1462,13.651,61639632.0
1463,13.651,58431064.0
1464,14.04,76877400.0
1465,14.117,65947424.0
1466,14.584,91376136.0
1467,14.662,82244968.0
1468,16.14,107706104.0
1469,15.401,247598416.0
1470,16.956,154080592.0
1471,18.395,218280544.0
1472,17.695,147427280.0
1473,16.995,149315648.0
1474,17.306,97217056.0
1475,17.423,79616712.0
1476,17.618,74670608.0
1477,19.368,252155328.0
1478,19.368,0.0
1479,19.368,0.0
1480,19.368,0.0
1481,19.368,0.0
1482,19.368,0.0
1483,19.368,0.0
1484,19.368,0.0
1485,19.368,0.0
1486,19.368,0.0
1487,19.368,0.0
1488,19.368,0.0
1489,19.368,0.0
